Item,PRO1Gender,PRO2City,PRO3Age,PRO4Marital,PRO5Retirement,PRO6Religion,PRO7Education,PRO8AnnualIncome,PRO9Career,PRO10CommunityCare,PRO11Long-termCare,PRO12LivingWithChildren,PRO131RetirementIncome,PRO132RetirementIncome,PRO133RetirementIncome,PRO134RetirementIncome,SA11,SA12,SA13,SA14,SA15,SA16,SA21,SA22,SA23,SA24,SA25,SA31,SA32,SA33,SA34,SA35,GR1,GR2,GR3,GR4,GR5,GR6,GR7,GR8,SAT1,SAT2,SAT3,SAT4,SAT5,SAT6,SAT7,SAT8,SAT9,SAT10,SAT11,SAT12,PP1,PP2,PP3,PP4,PP5,PP6,PP7,PP8,PP9,PP10,PP11,CB1,CB2,CB3,CB4,CB5,CB6,CB7,FI1,FI2,FI3,FI4,FI5,FI6,FI7,FI8
11,2,1,3,3,1,2,1,3,10,0,0,1,1,99,99,99,2,4,3,4,4,2,4,4,4,4,4,4,4,2,2,1,4,4,4,4,5,5,4,4,4,4,2,2,2,2,4,4,5,2,4,4,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,2,2,0,1,1,1,3,0,0,0,0
12,2,2,2,1,1,6,2,2,10,0,0,1,2,99,99,99,4,5,5,5,5,4,5,4,4,5,4,5,4,2,4,2,5,5,5,5,5,2,5,4,4,4,4,4,4,4,2,4,4,4,4,2,1,1,1,1,2,1,1,1,1,1,1,2,2,2,5,2,2,0,0,0,0,0,0,1,0,0
13,2,12,1,1,1,2,5,5,2,0,0,0, ,99,99,99,4,5,4,4,5,4,5,5,5,4,5,5,5,4,5,4,4,4,4,2,4,4,4,4,4,4,4,5,5,5,5,2,4,4,4,4,1,2,1,1,2,5,1,1,1,1,1,2,5,5,5,2,2,4,9,0,0,0,1,1,0,0
14,1,13,1,1,1,6,3,5,6,1,0,1,1,99,99,99,4,5,5,4,5,4,5,5,5,5,2,5,5,5,5,4,4,4,4,5,4,4,4,5,4,4,4,4,4,4,4,2,4,2,4,4,1,1,1,1,2,1,1,1,1,1,1,4,5,5,5,2,4,0,1,1,2,2,0,1, , 
15,1,4,1,1,1,6,5,5,2,0,0,0,3,99,99,99,4,5,5,2,5,5,5,5,5,5,5,5,5,4,5,4,2,2,2,2,2,2,2,2,5,5,5,4,2,4,4,2,2,4,4,4,1,1,1,1,2,4,1,1,1,1,1,4,4,5,5,5,4,3,9,0,0,0,9,0,9, 
16,1,3,1,1,0,2,3,5,1,1,0,1,4,99,99,99,5,4,5,2,4,4,5,4,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5,4,1,1,4,4,4,1,2,1,2,2,2,1,1,1,1,1,4,4,4,4,4,4,1,9,0,0,0,9,1, , 
17,1,7,3,1,1,1,1,2,9,0,0,1,3,99,99,99,5,4,4,2,4,4,4,4,4,5,1,5,5,5,5,5,4,4,5,5,5,4,4,4,4,4,4,4,2,4,4,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,5,5,5,4,2,2,2,1,0,0,0,1,3,0,0
18,2,4,1,1,1,6,1,1,1,0,0,1,1,99,99,99,2,5,5,5,5,5,5,5,5,5,1,5,5,5,2,1,2,2,2,5,5,4,4,5,2,5,5,5,1,5,1,4,4,2,4,2,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,1,4,0,0,0,0,0,0,0,0,0
19,1,1,1,1,0,4,4,5,2,0,0,0,2,99,99,99,4,5,5,5,5,4,5,5,5,5,5,5,4,2,4,4,5,5,5,4,5,4,4,4,4,4,5,4,4,5,2,2,4,4,4,2,1,1,1,1,2,4,4,2,2,2,2,5,5,5,4,4,4,0,4,0,0,0,9,0,6,0
20,1,1,3,1,1,2,3,3,1,0,0,0,4,99,99,99,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,4,5,4,4,2,5,4,1,5,5,5,4,1,1,1,1,1,2,1,1,2,1,1,5,5,5,5,1,2,4,4,0,0,0,9,2,0, 
21,2,20,1,1,1,6,4,5,2,0,0,0,3,99,99,99,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,4,5,4,5,5,5,4,5,5,2,1,2,5,4,2,1,1,1,1,1,3,1,1,1,1,1,4,4,5,5,4,4,4,1,0,0,0,2,2,9, 
22,2,6,1,1,0,2,1, ,9,0,0,1,3,99,99,99,5,4,4,4,5,5,5,5,5,5,4,4,4,2,4,4,5,4,5,4,4,4,4,4,4,5,5,2,1,5,4,1,4,2,4,4,1,1,1,1,1,4,1,1,1,1,1,4,4,5,5,1,1,0,0,0,0,0,0,0,0,0
23,1,18,3,1,1,2,4, ,3,0,0,0,95,99,99,99,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,2,1,1,1,2,4,2,2,4,4,4,4,4,2,2,2,4,4,2,1,1,1,1,1,2,1,1,1,1,1,4,4,5,2,2,2,0,0,0,0,0,0,0,0,0
24,2,4,2,3,1,4,1,3,10,0,0,1,1,99,99,99,4,2,1,2,2,4,5,5,4,5,4,4,4,1,5,5,5,5,5,5,5,5,2,4,5,1,2,4,4,5,5,2,5,2,2,2,1,1,1,1,1,1,1,1,1,1,1,4,5,2,2,1,2,0,1,0,0,0,0,0,0,0
25,1,14,2,1,0,2,1,1,1,0,0,0,1,99,99,99,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,4,5,4,5,5,5,5,5,4,4,5,2,4,5,5,2,4,5,2,2,2,1,1,1,1,4,2,1,1,1,1,2,5,5,5,2,5,2,0,2,4,2,0,1,2, 
26,1,10,1,1,0,6,5,2,1,0,0,1,3,99,99,99,5,5,4,4,5,4,5,5,5,5,4,5,5,5,5,4,5,4,4,5,4,4,5,4,1,4,5,4,1,4,4,1,2,2,1,4,1,1,1,1,2,2,1,1,1,1,1,4,4,4,5,4,4,0,1,0,0,0,1,0, , 
27,1,3,1,1,1,2,1,2,9,0,0,1,95,99,99,99,5,4,2,4,1,2,5,5,5,5,5,5,5,2,5,2,1,1,1,1,1,1,1,4,4,4,4,4,1,2,4,2,2,4,5,4,1,1,1,1,1,1,1,1,1,1,1,5,5,4,4,4,2,0,0,0,0,0,0,0,0,0
28,1,10,4,3,1,2,2,2,6,0,0,1,2,99,99,99,5,4,5,2,4,4,5,4,4,4,2,5,5,4,4,4,1,1,1,5,5,4,5,5,5,4,4,5,4,5,4,4,4,5,4,4,5,1,1,1,1,1,4,1,2,4,1,4,4,2,3,4,4,0,0,0,0,0,0,0,0,0
29,1,4,1,1,1,6,4,3,4,0,0,1,3,99,99,99,1,5,5,2,1,5,5,5,5,5,4,5,5,1,4,2,4,4,5,4,4,5,5,5,4,4,5,2,1,4,4,4,1,4,4,4,1,1,1,1,1,1,1,1,1,1,1,4,4,5,4,1,1,0,3,1,3,1,0,0,6, 
30,2,6,2,1,1,2,1,1,9,1,0,1,1,99,99,99,4,4,4,5,5,4,4,4,4,4,1,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,1,2,2,2,4,1,1,1,2,1,4,4,5,5,2,2,1,0,0,0,0,0,0, , 
31,1,5,1,1,1,2,4,2,2,0,0,0,3,99,99,99,4,4,5,2,5,2,4,5,5,5,5,4,4,5,5,5,4,4,4,5,5,4,4,5,4,4,5,4,4,4,2,2,4,4,4,4,1,1,1,1,1,4,1,1,1,1,1,4,4,5,5,5,5,0,9,0,0,0,4,1,4,0
32,1,2,1,1,0,2,3,2,5,0,0,0,1,99,99,99,5,4,4,2,4,4,5,5,5,5,5,5,5,4,5,4,5,1,4,2,1,1,1,4,4,4,3,2,1,4,4,2,4,2,4,4,1,1,1,1,1,4,2,1,2,1,4,4,4,5,4,1,4,1,2,0,0,0,2,0,0,0
33,1,4,1,1,0,6,3,2,8,0,0,1,4,99,99,99,5,4,5,5,4,4,5,5,4,5,4,4,4,4,4,4,4,4,5,5,5,5,4,4,4,4,4,4,4,4,5,4,4,4,4,4,2,1,1,1,1,1,1,1,1,1,1,2,4,2,4,4,4,0,1,1,2,1,1,1,0,0
34,2,18,1,3,1,2,3, ,10,0,0,1,3,99,99,99,5,4,5,4,4,5,5,5,5,5,4,5,5,5,5,5,2,4,4,4,5,4,4,4,4,4,5,5,2,4,4,1,1,4,5,5,1,1,1,1,1,2,1,1,1,1,1,4,4,5,4,2,4,4,0,0,0,0,0,1,0,0
35,2,16,1,1,1,6,3,5,5,0,0,0,95,99,99,99,5,4,4,2,2,5,5,5,5,5,5,5,5,5,4,5,5,5,4,4,5,5,2,5,4,5,4,4,1,2,4,2,1,2,5,5,1,1,1,1,1,1,1,1,1,1,1,5,5,4,5,4,2,0, ,0,0,0,1,0,0,0
36,2,14,3,3,1,6,1,2,10,0,0,1,1,99,99,99,5,4,4,2,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,2,2,2,2,2,4,2,2,2,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,2,2,0,0,0,0,0,0,0, , 
37,2,19,2,3,1,6,1, ,5,0,0,1,1,2,3,99,3,4,4,4,5,4,4,4,5,4,4,5,5,2,4,5,4,4,4,4,4,4,4,4,4,4,4,4,2,4,5,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,2,4,0,1,0,0,0,0,1,0,0
38,2,1,2,3,1,6,1,1,5,0,0,1,95,99,99,99,4,5,4,5,5,5,5,5,1,5,5,5,2,2,5,2,1,2,4,5,5,5,2,5,5,5,5,5,5,2,1,1,5,5,5,5,1,1,1,1,1,2,1,1,1,1,1,5,2,5,4,1,2,0,0,1,4,1,0,0,0,0
39,2,5,2,1,1,4,2,5,1,0,0,1,4,99,99,99,5,5,2,2,2,4,4,4,4,4,2,4,5,2,4,4,4,4,4,5,4,4,4,5,5,5,5,5,5,5,1,1,1,5,5,5,1,1,1,1,1,2,1,1,1,1,1,5,5,5,5,1,4,2, ,0,0,0, , ,8,7
40,2,6,2,1,1,6,4,5,10,0,0,0,1,99,99,99,5,5,5,4,5,4,5,5,5,5,4,5,5,2,4,2,4,4,5,4,2,4,4,4,4,4,4,4,2,4,4,4,2,4,4,4,1,2,1,1,1,4,1,1,1,1,1,4,4,4,4,2,2,2, ,0,0,0,0,0,0,0
41,1,2,1,1,1,2,3,5,1,0,0,1,4,99,99,99,5,4,5,2,4,5,5,5,5,5,5,5,5,4,5,4,5,5,2,5,4,5,5,5,4,4,4,4,2,4,4,2,4,4,5,4,1,1,1,1,1,4,1,1,1,1,1,5,5,5,4,1,4,0,9,0,0,0, ,2,5, 
42,2,3,1,1,1,6,3,5,3,0,0,1,3,99,99,99,3,5,4,5,4,4,5,4,4,4,1,5,2,2,4,2,5,1,4,5,4,4,2,4,4,4,4,4,2,5,5,4,4,2,5,4,1,1,1,1,1,5,1,1,1,1,1,4,1,4,5,4,4,0,1,0,0,0,0,0,0,0
43,1,16,1,1,1, ,4,3,7,0,0,0,3,99,99,99,4,5,5,4,5,4,5,5,5,5,4,4,4,5,2,2,1,1,1,4,1,1,4,4,5,5,5,5,5,1,1,1,1,5,5,5,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,3,0,6,0,0,0, ,1,3,0
44,1,14,2,1,1,6,5,5,1,0,0,1,1,99,99,99,5,5,5,2,5,4,5,5,5,5,5,4,4,2,5,4,5,5,5,5,4,5,4,5,4,4,5,5,5,2,2,5,2,4,2,2,1,1,1,1,1,4,5,1,1,1,1,2,5,5,5,2,2,0,2,0,0,0,3,2,0, 
45,2,6,1,2,1, ,3,1,11,0,0,0,1,99,99,99,5,1,2,1,2,1,2,4,2,2,4,2,4,2,1,2,1,4,4,4,4,4,4,4,4,2,4,2,1,4,4,4,4,1,2,3,1,1,1,1,1,1,1,1,1,1,1,4,4,4,2,2,3,0,1,0,0,0,0,1,0,0
46,1,1,1,4,1,6,4,2,7,0,0,0,3,99,99,99,3,5,5,5,1,4,5,5,5,5,5,5,5,1,5,4,4,4,4,4,4,4,4,4,2,4,4,4,2,5,5,5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,5,1,4,4,0,0,0,0,0, ,0,0,0
47,2,3,1,4,1,6,3, ,5,0,0,1,1,2,3,99,5,5,4,2,2,4,5,5,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,1,4,4,2,2,2,2,4,4,2,4,4,1,1,1,1,1,2,1,1,1,1,1,4,4,4,4,2, ,0,1,0,0,0,0,0,0,0
48,2,5,2,3,1,6,1, ,6,0,0,1,95,99,99,99,1,2,2,1,1,5,5,5,5,5,1,5,5,1,5,1,4,1,4,2,4,4,2,2,4,4,4,4,4,5,2,4,4,2,4,4,1,1,1,1,1,1,1,1,1,1,1,5,2,5,5,1,4,4, ,0,0,0,0,0,0,0
49,2,4,3,1,1,2,3,2,2,0,0,0,4,99,99,99,5,5,5,1,5,5,5,5,4,5,4,5,5,4,5,5,5,5,5,4,4,4,5,5,4,4,5,5,4,4,4,1,4,4,4,4,1,1,1,1,1,2,1,1,1,1,1,5,5,5,4,4,2,3,5,0,0,0,3,0,3,0
50,2,14,1,1,1,2,3,2,10,0,0,0,2,3,4,99,5,5,5,1,4,2,5,4,2,4,4,5,5,4,4,4,4,5,5,5,4,5,5,5,2,2,4,1,4,5,5,4,4,2,4,2,1,1,1,1,1,1,1,1,1,1,1,4,4,5,5,2,4,0,4, , , , ,0,0, 
51,1,4,2,1,0,2,1,2,7,0,0,1,1,2,99,99,5,2,4,5,5,5,5,5,4,5,5,4,5,4,5,5,4,4,4,5,5,5,5,5,4,4,5,4,5,5,4,2,4,4,4,4,1,1,1,1,1,5,4,1,1,1,1,4,4,5,5,4,4,0,1,0,0,0,0,1,0,0
52,1,5,1,1,1,2,4,1,11,0,0,1,95,99,99,99,4,5,2,5,5,4,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,4,2,4,5,2,5,1,1,1,1,2,1,1,1,1,1,4,5,5,4,2,2,0,3,1,4,1,0,0,3,2
53,1,15,1,1,0,6,1,1,9,0,0,0,2,99,99,99,5,5,4,2,1,5,5,5,5,4,5,4,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,4,4,5,5,5,4,4,5,5,1,1,3,1,1,4,1,1,3,1,1,5,5,5,5,1,5,3,0,0,0,0,1,1,0,1
54,2,1,1,1,1,6,1,5,9,0,0,1,1,2,4,99,4,5,4,5,4,5,5,5,4,4,4,5,5,4,4,4,4,5,5,4,4,5,2,4,4,4,4,5,4,4,4,2,2,4,5,2,2,1,1,2,1,1,1,1,1,2,1,4,5,4,4,4,2,3,6,0,0,0,4, ,9,1
55,2,16,3,3,1,2,3, ,2,0,0,0,95,99,99,99,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,4,4,4,4,4,2,4,2,2,4,4,1,1,4,4,4,1,1,1,2,2,2,2,1,1,1,1,4,4,4,4,2,2,0,0,1, ,1,1,0,3,1
56,1,4,2,4,1,6,3, ,1,0,0,1,1,2,4,99,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,2,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,4,4,1,1,1,2,2,2,1,1,1,1,1,4,4,4,5,4,4,1,2,0,0,0,2,2,0,0
57,1,4,3,1,1,4,2,1,1,0,0,1,95,99,99,99,1,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,2,2,4,4,4,1,1,1,1,1,1,1,1,1,1,1,4,4,3,4,2,4,0,0,0,0,0,0,0,0,0
58,1,16,1,1,1,6,2,1,7,0,0,0,2,99,99,99,5,4,5,5,5,5,5,5,5,5,5,5,5,1,5,1,5,5,5,5,5,5,1,5,5,5,5,5,5,5,1,4,2,2,4,4,2,2,1,2,1,5,2,2,2,2,2,4,4,4,4,4,4,0,1,0,0,0,1,0,0,0
59,1,4,1,1,1, ,4,5,1,0,0,1,2,3,99,99,2,5,5,4,5,4,5,5,5,5,4,5,5,5,4,4,5,5,5,5,5,5,1,5,2,4,5,2,2,4,4,2,2,2,2,2,1,2,1,1,1,2,1,1,1,1,1,4,4,5,5,1,1,0,1,2,4,2,0,0,0,0
60,1,5,1,1,0,6,1,1,6,0,0,0,2,99,99,99,4,4,4,5,4,5,5,5,5,5,5,5,5,2,2,5,5,5,4,4,4,4,4,5,3,4,4,5,5,5,5,1,1,4,5,5,1,2,1,1,1,3,1,1,2,1,1,5,4,4,5,2,4,0,1,0,0,0,0,0,0,0
61,2,6,1,3,1,2,4,3,12,0,0,0,95,99,99,99,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,4,5,5,4,2,2,1,1,1,4,1,1,1,1,1,1,2,1,1,1,1,1,4,5,5,5,4,2,4,0,0,0,0,0,0,0,0
62,2,3,2,1,1,6,1,1,1,0,0,0,1,2,3,4,5,4,4,4,4,2,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,2,4,4,4,4,2,4,4,4,4,4,4,4,4,3,1,1,3,3,1,1,1,1,1,1,4,4,4,4,4,4,4,1,0,0,0,1,2,4,2
63,1,11,1,1,0,6,2, ,1,0,0,0,2,99,99,99,4,5,5,5,5,5,5,5,5,5,2,5,5,2,5,2,4,5,5,5,5,5,1,5,5,4,4,4,4,4,5,2,2,5,5,5,1,1,1,1,1,2,1,1,1,1,1,5,2,5,2,2,4,0, ,0,0,0,9,0,9,1
64,2,8,2,1,1,6,2, ,10,0,0,1,1,2,3,4,1,5,5,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,1,1,1,1,1,2,1,1,1,1,1,4,4,4,4,2,4,0, ,0,0,0, ,1, , 
65,1,6,1,1,1,2,3,3,7,0,0,1,1,2,3,99,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,5,4,4,4,2,2,4,2,4,4,2,4,5,1,1,1,1,2,4,2,2,1,1,1,4,4,5,5,2,4,4,5,0,0,0,6, , , 
66,2,8,1,1,1,6,4,4,12,0,0,1,4,99,99,99,4,5,4,5,5,4,5,5,5,5,5,5,5,2,4,4,4,4,4,5,5,5,2,5,5,5,4,4,4,5,4,5,4,5,5,4,1,1,1,1,1,2,1,1,1,1,1,5,5,5,4,2,1,0,1,0,0,0,1, ,2, 
67,2,12,3,1,1,2,2, ,1,0,0,0,1,2,3,4,5,5,4,2,2,2,2,2,1,4,1,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,2,4,4,4,4,4,4,4,4,4,1,1,1,5,2,4,2,1,1,1,1,1,4,5,5,2,1,0,1,0,0,0,0,0,0,0
68,1,1,2,1,1,6,3,5,5,0,0,1,1,2,99,99,5,5,4,3,4,5,4,5,4,5,5,5,4,4,2,2,5,5,5,5,5,1,5,5,2,5,5,2,5,5,5,2,2,5,5,2,1,1,1,1,2,2,1,1,1,1,1,4,5,4,4,2,2,0,1,0,0,0,3,0,5, 
69,1,6,1,1,1,2,3,5,12,0,0,0,1,3,95,99,5,5,5,5,5,4,5,5,4,5,4,5,5,4,4,4,5,5,5,4,4,1,2,5,5,4,4,2,2,4,4,2,2,2,4,4,1,1,1,1,2,1,1,1,1,1,1,4,2,5,4,4,4,0,1,0,0,0,4,0,5,2
70,1,18,1,2,0,6,2,3,1,0,0,1,1,2,3,4,5,4,5,5,5,4,5,5,5,5,5,5,5,4,5,2,2,2,4,4,4,2,4,5,4,4,5,2,5,4,5,2,4,4,5,5,1,1,1,1,1,2,1,1,1,1,1,5,4,5,5,4,5,2,4,0,0,0,9,5,2,0
71,2,6,1,4,0,4,1,1,9,0,0,0,1,2,3,99,5,4,3,2,2,2,4,4,4,4,2,5,5,4,2,5,4,4,4,4,4,5,1,4,4,4,4,2,1,5,4,4,2,4,4,4,1,1,1,1,1,2,1,1,2,1,1,4,5,4,4,2, ,0,0,2,4,4,0,0,0,0
72,2,16,2,1,1,2,4,5,12,0,0,1,2,3,4,99,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,4,5,4,5,5,2,2,4,4,4,1,2,1,1,2,2,2,1,2,2,1,4,5,5,5,4,4,4,4,0,0,0,3,1,5, 
73,1,10,1,1,0,6,1,2,7,0,0,0,1,2,3,99,1,4,4,2,4,4,4,4,4,4,4,4,4,2,4,4,2,2,1,2,2,2,2,2,2,3,4,4,4,3,4,4,4,4,4,4,1,1,2,1,2,2,1,1,1,1,1,5,4,4,4,2,4,4,0,0,0,0,0,0,0,0
74,1,2,1,1,1,4,4,2,12,0,0,1,1,2,3,99,5,5,5,1,5,5,5,5,5,5,5,2,4,4,5,5,4,4,4,2,5,5,2,4,4,4,2,2,4,5,5,2,5,4,4,4,1,1,1,1,5,1,5,1,1,1,1,5,5,5,4,2,4,0,3,0,0,0, , , ,3
75,2,4,1,1,1,6,1,1,6,0,0,1,95,99,99,99,3,5,4,5,5,4,5,4,1,1,1,5,5,2,2,1,5,4,4,4,4,5,3,5,2,5,5,5,1,4,4,1,5,2,5,2,1,1,1,1,1,2,2,1,1,2,1,5,5,5,5,2,1,0,1,1,4,3,0,0,3,0
76,2,14,1,1,1,6,3,5,10,0,0,1,2,4,99,99,4,5,5,5,5,2,5,5,5,2,2,5,5,5,5,3, ,5,5,5,5,5,1,5,2,5,5,1,2,5,5,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,5,5,2,4,4,0,0,0,0,0,0,3,9
77,1,13,1,1,1,2,3, ,8,0,0,1,1,2,3,4,5,2,2,4,5,4,5,5,4,5,4,5,4,4,4,5,2,5,5,5,4,5,4,5,4,4,4,2,2,4,4,2,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,5,4,4,4,4,4,0, ,0,0,0, , , , 
78,1,10,1,1,1,2,3,5,6,0,0,1,2,3,4,99,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,2,1,1,1,1,1,5,5,5,5,4,4,0,9,0,0,0,2,3,1,2
79,1,17,2,1,1,6,4,4,12,0,0,0,3,99,99,99,4,4,5,2,4,4,4,4,4,4,5,5,4,5,5,5,4,4,4,4,4,2,4,4,2,4,5,2,2,5,5,4,4,4,4,4,1,1,1,1,1,2,1,1,1,1,1,4,4,4,4,2,3,2,6,0,0,0,3,0,0,0
80,1,19,1,1,0,2,1,2,9,0,0,1,1,99,99,99,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,2,4,4,4,4,4,2,4,2,2,2,4,4,4,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,2,2,4,0,0,0,0,1,0,0, 
81,1,16,1,1,0,6,3,4,3,0,0,1,1,2,3,4,5,3,4,5,5,5,5,5,5,5,5,4,5,2,5,5,5,2,5,5,5,2,5,5,4,4,5,4,5,4,2,2,2,5,5,4,1,1,1,1,1,1,1,1,1,1,1,4,5,5,4,5,5,1,2,0,0,0, , , , 
82,2,12,1,1,1,2,3, ,10,1,0,1,2,4,99,99,4,5,5,4,2,2,4,4,4,4,1,5,4,4,4,4,4,4,4,4,4,4,2,5,4,4,4,1,1,3,4,1,2,1,4,4,2,1,2,1,1,2,1,1,1,1,1,4,5,5,5,4,4,4,0,1,3,3,2,1,0,0
83,2,6,1,1,1,1,4,3,4,0,0,1,2,3,4,99,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,5,5,5,5,5,2,4,4,4,4,1,1,1,1,1,3,2,1,1,1,1,4,5,5,1,2,4,4,2,1,4,2,2,1,5,3
